Order_ID,Ship_Mode,Ship_Date,Ship_ID
1,REGULAR AIR,20.10.2010,SHP_1
2,DELIVERY TRUCK,02.10.2012,SHP_2
3,REGULAR AIR,12.07.2011,SHP_4
4,REGULAR AIR,30.08.2010,SHP_5
5,REGULAR AIR,17.06.2011,SHP_6
6,EXPRESS AIR,25.03.2011,SHP_8
7,REGULAR AIR,26.02.2010,SHP_9
8,REGULAR AIR,24.11.2010,SHP_10
9,REGULAR AIR,09.06.2012,SHP_11
10,REGULAR AIR,04.08.2012,SHP_13
11,REGULAR AIR,31.05.2011,SHP_14
12,REGULAR AIR,26.11.2009,SHP_15
13,EXPRESS AIR,15.02.2012,SHP_2477
14,REGULAR AIR,19.04.2012,SHP_19
15,EXPRESS AIR,14.03.2010,SHP_20
16,REGULAR AIR,11.03.2011,SHP_22
17,REGULAR AIR,06.08.2012,SHP_24
18,REGULAR AIR,07.05.2011,SHP_25
19,DELIVERY TRUCK,25.12.2010,SHP_26
20,REGULAR AIR,13.11.2010,SHP_27
21,REGULAR AIR,22.10.2012,SHP_28
22,REGULAR AIR,02.01.2011,SHP_29
23,REGULAR AIR,11.10.2011,SHP_31
24,REGULAR AIR,25.09.2010,SHP_32
25,DELIVERY TRUCK,19.07.2011,SHP_33
26,REGULAR AIR,09.10.2009,SHP_34
27,DELIVERY TRUCK,11.12.2010,SHP_37
28,REGULAR AIR,10.10.2012,SHP_38
29,REGULAR AIR,03.05.2012,SHP_39
30,REGULAR AIR,08.03.2010,SHP_40
31,REGULAR AIR,30.05.2011,SHP_41
32,REGULAR AIR,21.09.2010,SHP_42
33,REGULAR AIR,01.09.2011,SHP_43
34,REGULAR AIR,10.07.2011,SHP_46
35,REGULAR AIR,01.02.2009,SHP_47
36,REGULAR AIR,13.01.2012,SHP_48
37,REGULAR AIR,08.11.2010,SHP_49
38,REGULAR AIR,01.05.2010,SHP_50
39,REGULAR AIR,03.01.2012,SHP_51
40,REGULAR AIR,13.08.2009,SHP_52
41,REGULAR AIR,19.11.2011,SHP_54
42,REGULAR AIR,20.01.2012,SHP_55
43,REGULAR AIR,20.03.2009,SHP_2587
44,EXPRESS AIR,25.07.2012,SHP_58
45,EXPRESS AIR,15.06.2012,SHP_59
46,REGULAR AIR,20.01.2009,SHP_60
47,EXPRESS AIR,08.06.2010,SHP_61
48,REGULAR AIR,19.02.2010,SHP_62
49,EXPRESS AIR,18.11.2011,SHP_63
50,REGULAR AIR,11.08.2011,SHP_66
51,REGULAR AIR,09.06.2010,SHP_67
52,REGULAR AIR,17.10.2009,SHP_68
53,DELIVERY TRUCK,29.08.2011,SHP_69
54,REGULAR AIR,30.09.2011,SHP_71
55,REGULAR AIR,08.05.2012,SHP_72
56,EXPRESS AIR,18.05.2011,SHP_73
57,REGULAR AIR,18.11.2009,SHP_76
58,EXPRESS AIR,12.10.2011,SHP_77
59,REGULAR AIR,07.10.2012,SHP_80
60,REGULAR AIR,16.08.2011,SHP_81
61,EXPRESS AIR,17.08.2011,SHP_84
62,REGULAR AIR,04.03.2009,SHP_85
63,REGULAR AIR,20.08.2009,SHP_86
64,DELIVERY TRUCK,17.11.2010,SHP_87
65,REGULAR AIR,29.05.2011,SHP_88
66,EXPRESS AIR,24.08.2010,SHP_90
67,REGULAR AIR,21.08.2011,SHP_91
68,REGULAR AIR,05.01.2012,SHP_92
69,REGULAR AIR,30.11.2012,SHP_93
70,REGULAR AIR,18.03.2012,SHP_94
71,REGULAR AIR,19.04.2010,SHP_95
72,REGULAR AIR,26.08.2010,SHP_96
73,DELIVERY TRUCK,05.07.2011,SHP_97
74,REGULAR AIR,12.11.2010,SHP_98
75,DELIVERY TRUCK,25.06.2010,SHP_100
76,REGULAR AIR,19.09.2012,SHP_101
77,REGULAR AIR,28.12.2011,SHP_103
78,REGULAR AIR,24.03.2012,SHP_104
79,REGULAR AIR,17.10.2011,SHP_105
80,DELIVERY TRUCK,08.08.2010,SHP_106
81,REGULAR AIR,10.03.2009,SHP_107
82,REGULAR AIR,09.02.2010,SHP_108
83,REGULAR AIR,17.01.2009,SHP_110
84,DELIVERY TRUCK,31.08.2010,SHP_112
85,REGULAR AIR,12.09.2009,SHP_114
86,REGULAR AIR,17.07.2009,SHP_115
87,REGULAR AIR,20.11.2012,SHP_116
88,REGULAR AIR,14.09.2011,SHP_117
89,REGULAR AIR,11.04.2011,SHP_120
90,REGULAR AIR,10.10.2011,SHP_122
91,DELIVERY TRUCK,25.10.2012,SHP_123
92,REGULAR AIR,08.01.2012,SHP_124
93,DELIVERY TRUCK,26.01.2010,SHP_126
94,DELIVERY TRUCK,27.01.2011,SHP_128
95,REGULAR AIR,29.08.2009,SHP_129
96,REGULAR AIR,18.03.2011,SHP_131
97,REGULAR AIR,08.06.2012,SHP_132
98,REGULAR AIR,12.04.2011,SHP_135
99,REGULAR AIR,10.11.2012,SHP_136
100,REGULAR AIR,17.05.2012,SHP_138
101,REGULAR AIR,11.04.2012,SHP_139
102,REGULAR AIR,07.08.2012,SHP_140
103,REGULAR AIR,23.07.2009,SHP_141
104,REGULAR AIR,11.05.2010,SHP_142
105,DELIVERY TRUCK,18.02.2009,SHP_144
106,REGULAR AIR,28.06.2012,SHP_145
107,REGULAR AIR,01.10.2010,SHP_147
108,REGULAR AIR,15.04.2010,SHP_149
